,Title,F,M,MovieID,Rating,No.,MovieID,Genres
1282,Funny Face (1957),3.840909091,3.441860465,901,3.643678161,348,901,Comedy|Musical
515,Breakfast at Tiffany's (1961),4.044728435,3.790633609,902,3.908284024,1352,902,Drama|Romance
3518,Vertigo (1958),4.277777778,4.27123696,903,4.272928177,1810,903,Mystery|Thriller
2738,Rear Window (1954),4.484536082,4.472990777,904,4.476190476,2100,904,Mystery|Thriller
1719,It Happened One Night (1934),4.5,4.163934426,905,4.280748663,374,905,Comedy
1295,Gaslight (1944),4.344827586,3.88,906,4.096256684,374,906,Mystery|Thriller
1301,"Gay Divorcee, The (1934)",4.176470588,3.685185185,907,3.923809524,315,907,Comedy|Musical|Romance
2401,North by Northwest (1959),4.364457831,4.390640895,908,4.384030418,2630,908,Drama|Thriller
192,"Apartment, The (1960)",4.185483871,4.102389078,909,4.127098321,834,909,Comedy|Drama
3072,Some Like It Hot (1959),4.462745098,4.228769497,910,4.300480769,1664,910,Comedy|Crime
644,Charade (1963),4.314049587,4.097297297,911,4.183006536,1224,911,Comedy|Mystery|Romance|Thriller
609,Casablanca (1942),4.300990099,4.461340206,912,4.412822049,5007,912,Drama|Romance|War
2055,"Maltese Falcon, The (1941)",4.344680851,4.410891089,913,4.395973154,2086,913,Film-Noir|Mystery
2289,My Fair Lady (1964),4.336666667,3.991071429,914,4.15408805,1272,914,Musical|Romance
2872,Sabrina (1954),4.139896373,3.76744186,915,3.964383562,730,915,Comedy|Romance
2826,Roman Holiday (1953),4.353211009,4.072463768,916,4.216470588,850,916,Comedy|Romance
1952,"Little Princess, The (1939)",3.862745098,3.307692308,917,3.675324675,154,917,Children's|Drama
2133,Meet Me in St. Louis (1944),4.011363636,3.603960396,918,3.793650794,189,918,Musical
3656,"Wizard of Oz, The (1939)",4.355029586,4.203137903,919,4.247962747,6872,919,Adventure|Children's|Drama|Musical
1375,Gone with the Wind (1939),4.26984127,3.829370629,920,3.997404844,3468,920,Drama|Romance|War
2293,My Favorite Year (1982),3.810810811,3.921052632,921,3.894039735,302,921,Comedy
3218,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.572649573,4.464589235,922,4.491489362,470,922,Film-Noir
684,Citizen Kane (1941),4.332142857,4.407894737,923,4.388888889,1116,923,Drama
16,2001: A Space Odyssey (1968),3.825581395,4.129737609,924,4.068764569,6864,924,Drama|Mystery|Sci-Fi|Thriller
1369,Golden Earrings (1947),3,3.333333333,925,3.25,24,925,Adventure|Romance
105,All About Eve (1950),4.363057325,4.18699187,926,4.255583127,403,926,Drama
3663,"Women, The (1939)",4.051282051,3.911111111,927,3.976190476,84,927,Comedy
2739,Rebecca (1940),4.312138728,4.117370892,928,4.204663212,772,928,Romance|Thriller
1222,Foreign Correspondent (1940),3.739130435,3.8,929,3.784946237,93,929,Thriller
2408,Notorious (1946),4.448717949,4.211072664,930,4.294382022,1335,930,Film-Noir|Romance|Thriller
3115,Spellbound (1945),4.189189189,3.757575758,931,3.912621359,618,931,Mystery|Romance|Thriller
66,"Affair to Remember, An (1957)",4.14159292,3.671052632,932,3.952380952,189,932,Romance
3377,To Catch a Thief (1955),4.203592814,4.039855072,933,4.101580135,1329,933,Comedy|Romance|Thriller
1131,Father of the Bride (1950),3.722772277,3.625615764,934,3.657894737,304,934,Comedy
280,"Band Wagon, The (1953)",3.787878788,3.5,935,3.633802817,142,935,Comedy|Musical
2388,Ninotchka (1939),4.195652174,4.011627907,936,4.075757576,264,936,Comedy|Romance
2013,Love in the Afternoon (1957),4.304347826,3.142857143,937,3.75,88,937,Comedy|Romance
1331,Gigi (1958),3.846938776,3.370786517,938,3.620320856,187,938,Musical
2757,"Reluctant Debutante, The (1958)",3.857142857,2,939,3.181818182,22,939,Comedy|Drama
62,"Adventures of Robin Hood, The (1938)",4.166666667,3.918367347,940,3.973544974,756,940,Action|Adventure
2090,"Mark of Zorro, The (1940)",3.875,3.654320988,941,3.704761905,105,941,Adventure
1897,Laura (1944),4.277777778,4.157608696,942,4.202054795,876,942,Crime|Film-Noir|Mystery
1322,"Ghost and Mrs. Muir, The (1947)",4.012195122,3.95505618,943,3.98245614,342,943,Drama|Romance
1991,Lost Horizon (1937),3.956521739,3.743243243,944,3.793814433,97,944,Drama
3395,Top Hat (1935),4.245762712,4.060150376,945,4.147410359,753,945,Comedy|Musical|Romance
3376,To Be or Not to Be (1942),3.95,3.818181818,946,3.850931677,483,946,Comedy|Drama|War
2302,My Man Godfrey (1936),4.158730159,4.08,947,4.106382979,188,947,Comedy
1329,Giant (1956),3.860465116,3.701149425,948,3.753846154,130,948,Drama
1012,East of Eden (1955),3.936507937,3.993421053,949,3.976744186,215,949,Drama
3318,"Thin Man, The (1934)",4.125,4.295918367,950,4.239726027,292,950,Mystery
1548,His Girl Friday (1940),4.3125,4.213438735,951,4.249370277,397,951,Comedy
209,Around the World in 80 Days (1956),3.596153846,3.603686636,952,3.602230483,538,952,Adventure|Comedy
1722,It's a Wonderful Life (1946),4.31,4.29489603,953,4.299039781,729,953,Drama
2242,Mr. Smith Goes to Washington (1939),4.4,4.183745583,954,4.240208877,383,954,Drama
532,Bringing Up Baby (1938),4.209876543,4.143426295,955,4.169491525,413,955,Comedy
2543,Penny Serenade (1941),3.652173913,3.411764706,956,3.55,80,956,Drama|Romance
2897,"Scarlet Letter, The (1926)",3.533333333,3.045454545,957,3.243243243,37,957,Drama
1866,Lady of Burlesque (1943),3.25,3.444444444,958,3.384615385,26,958,Comedy|Mystery
2424,Of Human Bondage (1934),3.935483871,3.518518519,959,3.74137931,58,959,Drama
172,Angel on My Shoulder (1946),3.25,3.5,960,3.45,40,960,Crime|Drama
1946,Little Lord Fauntleroy (1936),3.375,3.533333333,961,3.47826087,23,961,Drama
3312,They Made Me a Criminal (1939),3.5,3.555555556,962,3.545454545,22,962,Crime|Drama
1696,"Inspector General, The (1949)",4.076923077,3.414634146,963,3.574074074,54,963,Musical
171,Angel and the Badman (1947),3.875,3.302325581,964,3.392156863,51,964,Western
24,"39 Steps, The (1935)",3.965517241,4.107692308,965,4.075098814,253,965,Thriller
3546,"Walk in the Sun, A (1945)",4,4,966,4,6,966,Drama
2488,"Outlaw, The (1943)",4,3.15,967,3.260869565,23,967,Western
2369,Night of the Living Dead (1968),3.422764228,3.722972973,968,3.671328671,1430,968,Horror|Sci-Fi
68,"African Queen, The (1951)",4.324232082,4.22382199,969,4.251655629,4228,969,Action|Adventure|Romance|War
317,Beat the Devil (1954),3.25,3.448275862,970,3.405405405,74,970,Comedy|Drama
618,Cat on a Hot Tin Roof (1958),4.046296296,4.049079755,971,4.04797048,271,971,Drama
1892,"Last Time I Saw Paris, The (1954)",3.2,3,972,3.166666667,6,972,Drama
2132,Meet John Doe (1941),4.166666667,3.810344828,973,3.914634146,82,973,Drama
95,Algiers (1938),4,3.555555556,974,3.75,32,974,Drama|Romance
3077,Something to Sing About (1937),,1.5,975,1.5,4,975,Comedy|Musical
1121,"Farewell to Arms, A (1932)",3.529411765,3.58974359,976,3.571428571,112,976,Romance|War
2220,Moonlight Murder (1936),,2,977,2,2,977,Mystery
449,"Blue Angel, The (Blaue Engel, Der) (1930)",3.9,3.957142857,978,3.94,100,978,Drama
1672,In the Line of Duty 2 (1987),,2.8,980,2.8,5,980,Action
843,Dangerous Ground (1997),1,3.333333333,981,2.75,4,981,Drama
2573,Picnic (1955),3.633333333,3.705882353,982,3.679012346,81,982,Drama
2618,"Pompatus of Love, The (1996)",3,2.421052632,984,2.666666667,66,984,Comedy|Drama
3043,Small Wonders (1996),3.333333333,5,985,3.75,4,985,Documentary
1196,Fly Away Home (1996),3.755319149,3.5,986,3.603448276,464,986,Adventure|Children's
431,Bliss (1997),2.8125,2.958333333,987,2.9,80,987,Drama|Romance
1392,Grace of My Heart (1996),3.277777778,3.484848485,988,3.376811594,138,988,Comedy|Drama
2903,Schlafes Bruder (Brother of Sleep) (1995),,5,989,5,1,989,Drama
2117,Maximum Risk (1996),2.2,2.612244898,990,2.574074074,162,990,Action|Adventure|Thriller
2157,Michael Collins (1996),3.405405405,3.556390977,991,3.523529412,340,991,Drama|War
2788,"Rich Man's Wife, The (1996)",3.4,2.333333333,992,2.6,20,992,Thriller
1688,Infinity (1996),3,3.166666667,993,3.111111111,9,993,Drama
389,Big Night (1996),4.141843972,4.074433657,994,4.095555556,450,994,Drama
1883,Last Man Standing (1996),2.555555556,2.932773109,996,2.90625,768,996,Action|Drama|Western
623,Caught (1996),3.5,3.277777778,997,3.357142857,56,997,Drama|Thriller
2935,Set It Off (1996),3.45,2.890410959,998,3.010752688,186,998,Action|Crime
12,2 Days in the Valley (1996),3.488888889,3.244813278,999,3.283216783,286,999,Crime
818,Curdled (1996),3.8,2.8,1000,3.05,20,1000,Crime
1020,Ed's Next Move (1996),4.25,4.25,1002,4.25,8,1002,Comedy
1082,Extreme Measures (1996),2.78125,3,1003,2.94214876,242,1003,Drama|Thriller
1344,"Glimmer Man, The (1996)",2.75,2.647058824,1004,2.663366337,202,1004,Action|Thriller
829,D3: The Mighty Ducks (1996),2.595238095,2.28,1005,2.373239437,284,1005,Children's|Comedy
640,"Chamber, The (1996)",3.043478261,3.109090909,1006,3.08974359,78,1006,Drama
198,"Apple Dumpling Gang, The (1975)",3.02,2.967032967,1007,2.978448276,696,1007,Children's|Comedy|Western
856,"Davy Crockett, King of the Wild Frontier (1955)",3.538461538,3.297619048,1008,3.329896907,97,1008,Western
1058,Escape to Witch Mountain (1975),3.337078652,3.118811881,1009,3.18556701,873,1009,Adventure|Children's|Fantasy
2000,"Love Bug, The (1969)",3.371428571,3.226744186,1010,3.268595041,484,1010,Children's|Comedy
1527,Herbie Rides Again (1974),2.965517241,2.660377358,1011,2.725925926,405,1011,Adventure|Children's|Comedy
2431,Old Yeller (1957),3.725274725,3.695238095,1012,3.704318937,602,1012,Children's|Drama
2515,"Parent Trap, The (1961)",3.805555556,3.393333333,1013,3.565891473,516,1013,Children's|Drama
2614,Pollyanna (1960),3.661764706,3.147058824,1014,3.404411765,408,1014,Children's|Comedy|Drama
1566,Homeward Bound: The Incredible Journey (1993),3.61971831,3.226993865,1015,3.346153846,468,1015,Adventure|Children's
2958,"Shaggy Dog, The (1959)",3.447368421,3.144067797,1016,3.217948718,312,1016,Children's|Comedy
3247,Swiss Family Robinson (1960),3.630136986,3.571428571,1017,3.586956522,552,1017,Adventure|Children's
3302,That Darn Cat! (1965),3.431372549,3.125,1018,3.25203252,369,1018,Children's|Comedy|Mystery
14,"20,000 Leagues Under the Sea (1954)",3.670103093,3.709205021,1019,3.702608696,2300,1019,Adventure|Children's|Fantasy|Sci-Fi
763,Cool Runnings (1993),3.282051282,3.221818182,1020,3.239795918,392,1020,Comedy
176,Angels in the Outfield (1994),3.1625,2.580838323,1021,2.769230769,494,1021,Children's|Comedy
679,Cinderella (1950),3.96875,3.620396601,1022,3.755632582,1731,1022,Animation|Children's|Musical
3643,Winnie the Pooh and the Blustery Day (1968),3.98630137,3.986486486,1023,3.986425339,442,1023,Animation|Children's
3339,"Three Caballeros, The (1945)",3.3125,3.223404255,1024,3.246031746,378,1024,Animation|Children's|Musical
3250,"Sword in the Stone, The (1963)",3.73255814,3.560386473,1025,3.610921502,586,1025,Animation|Children's
3058,So Dear to My Heart (1949),4.2,2.666666667,1026,3.625,16,1026,Children's|Drama
2810,Robin Hood: Prince of Thieves (1991),3.161290323,3.163346614,1027,3.162790698,344,1027,Drama
2098,Mary Poppins (1964),4.197740113,3.730593607,1028,3.894164194,3033,1028,Children's|Comedy|Musical
1002,Dumbo (1941),3.685,3.690217391,1029,3.688380282,1704,1029,Animation|Children's|Musical
2557,Pete's Dragon (1977),3.203703704,3.013953488,1030,3.077399381,1292,1030,Adventure|Animation|Children's|Musical
327,Bedknobs and Broomsticks (1971),3.576576577,3.427884615,1031,3.479623824,957,1031,Adventure|Children's|Musical
97,Alice in Wonderland (1951),3.705882353,3.692307692,1032,3.697142857,1575,1032,Animation|Children's|Musical
1230,"Fox and the Hound, The (1981)",3.572916667,3.387434555,1033,3.449477352,574,1033,Animation|Children's
1245,Freeway (1996),3.771428571,3.611940299,1034,3.644970414,169,1034,Crime
3095,"Sound of Music, The (1965)",4.233676976,3.783417936,1035,3.931972789,882,1035,Musical
929,Die Hard (1988),3.918566775,4.167770419,1036,4.121848739,3332,1036,Action|Thriller
1900,"Lawnmower Man, The (1992)",2.558139535,2.676748582,1037,2.660162602,1845,1037,Action|Sci-Fi|Thriller
3490,Unhook the Stars (1996),3,3.375,1038,3.272727273,11,1038,Drama
3251,Synthetic Pleasures (1995),3,4,1039,3.666666667,3,1039,Documentary
2922,"Secret Agent, The (1996)",2,3.25,1040,3,5,1040,Drama
2926,Secrets & Lies (1996),4.014634146,4.055762082,1041,4.037974684,474,1041,Drama
3305,That Thing You Do! (1996),3.488888889,3.477011494,1042,3.481060606,528,1042,Comedy
3379,To Gillian on Her 37th Birthday (1996),2.876923077,2.790697674,1043,2.842592593,216,1043,Drama|Romance
3233,Surviving Picasso (1996),3.272727273,3.291666667,1044,3.285714286,35,1044,Drama
322,Beautiful Thing (1996),3.833333333,4.125,1046,4.066666667,180,1046,Drama|Romance
1976,"Long Kiss Goodnight, The (1996)",3.597560976,3.457386364,1047,3.483870968,868,1047,Action|Thriller
1323,"Ghost and the Darkness, The (1996)",3.375,3.316804408,1049,3.328159645,902,1049,Action|Adventure
1979,Looking for Richard (1996),3.5,3.943396226,1050,3.821917808,292,1050,Documentary|Drama
3421,Trees Lounge (1996),3.047619048,3.519480519,1051,3.418367347,98,1051,Drama
2398,Normal Life (1996),3.333333333,2.875,1053,2.914285714,70,1053,Crime|Drama
1316,Get on the Bus (1996),3.615384615,3.25,1054,3.308641975,81,1054,Drama
2947,Shadow Conspiracy (1997),2.333333333,2.8125,1055,2.736842105,19,1055,Thriller
1773,Jude (1996),3.583333333,3.5,1056,3.54,50,1056,Drama
1068,Everyone Says I Love You (1996),3.433962264,3.636904762,1057,3.558394161,822,1057,Comedy|Musical|Romance
406,Bitter Sugar (Azucar Amargo) (1996),,3.272727273,1058,3.272727273,11,1058,Drama
3633,William Shakespeare's Romeo and Juliet (1996),3.532608696,3.318644068,1059,3.400835073,958,1059,Drama|Romance
3246,Swingers (1996),3.738636364,4,1060,3.941475827,1572,1060,Comedy|Drama
3025,Sleepers (1996),3.56122449,3.547101449,1061,3.550802139,748,1061,Crime|Drama
3217,"Sunchaser, The (1996)",,2.5,1062,2.5,2,1062,Drama
1767,Johns (1996),3.666666667,3,1063,3.153846154,26,1063,Drama
90,Aladdin and the King of Thieves (1996),2.763888889,2.96350365,1064,2.894736842,627,1064,Animation|Children's|Comedy
2961,Shall We Dance? (1937),4.303797468,4.052083333,1066,4.165714286,525,1066,Comedy|Musical|Romance
834,"Damsel in Distress, A (1937)",4.083333333,3.454545455,1067,3.782608696,69,1067,Comedy|Musical|Romance
800,Crossfire (1947),3.454545455,3.791666667,1068,3.685714286,70,1068,Crime|Film-Noir
2271,"Murder, My Sweet (1944)",3.794117647,3.986842105,1069,3.927272727,220,1069,Film-Noir|Thriller
2030,Macao (1952),,3,1070,3,2,1070,Adventure
1217,For the Moment (1994),5,3,1071,3.4,10,1071,Romance|War
3635,Willy Wonka and the Chocolate Factory (1971),4.063953488,3.789473684,1073,3.861386139,5252,1073,Adventure|Children's|Comedy|Fantasy
1692,"Innocents, The (1961)",4.428571429,3.8125,1076,4,23,1076,Thriller
3024,Sleeper (1973),4.034722222,3.966666667,1077,3.97983871,1488,1077,Comedy|Sci-Fi
279,Bananas (1971),3.808823529,3.842105263,1078,3.836021505,744,1078,Comedy|War
1172,"Fish Called Wanda, A (1988)",3.858024691,4.007984032,1079,3.971342383,1326,1079,Comedy
2218,Monty Python's Life of Brian (1979),3.972222222,4.029490617,1080,4.018358531,926,1080,Comedy
3524,Victor/Victoria (1982),3.775147929,3.516981132,1081,3.617511521,868,1081,Comedy|Musical
586,"Candidate, The (1972)",3.736842105,3.689655172,1082,3.701298701,154,1082,Drama
1414,"Great Race, The (1965)",3.340909091,3.6,1083,3.530487805,328,1083,Comedy|Musical
475,Bonnie and Clyde (1967),4.064327485,4.106796117,1084,4.096209913,1372,1084,Crime|Drama
2430,"Old Man and the Sea, The (1958)",3.62962963,3.817307692,1085,3.778625954,262,1085,Adventure|Drama
925,Dial M for Murder (1954),4.1875,4.023904382,1086,4.079155673,758,1086,Mystery|Thriller
2038,Madame Butterfly (1995),3.888888889,3,1087,3.444444444,18,1087,Musical
940,Dirty Dancing (1987),3.790378007,2.95959596,1088,3.311499272,1374,1088,Musical|Romance
2772,Reservoir Dogs (1992),3.769230769,4.213872832,1089,4.135822081,2518,1089,Crime|Thriller
2589,Platoon (1986),3.931578947,4.121720881,1090,4.090113736,2286,1090,Drama|War
3574,Weekend at Bernie's (1989),2.779069767,2.797909408,1091,2.793565684,373,1091,Comedy
294,Basic Instinct (1992),3.387878788,3.585324232,1092,3.541944075,1502,1092,Mystery|Thriller
962,"Doors, The (1991)",3.337142857,3.431683168,1093,3.407352941,1360,1093,Drama|Musical
814,"Crying Game, The (1992)",3.869017632,3.665865385,1094,3.731489015,3687,1094,Drama|Romance|War
1343,Glengarry Glen Ross (1992),3.584,3.968609865,1095,3.88441331,571,1095,Drama
3090,Sophie's Choice (1982),4.091603053,3.906103286,1096,3.976744186,344,1096,Drama
1007,E.T. the Extra-Terrestrial (1982),4.08985025,3.920263789,1097,3.9651829,9076,1097,Children's|Drama|Fantasy|Sci-Fi
2915,"Search for One-eye Jimmy, The (1996)",,2.4,1098,2.4,5,1098,Comedy
670,"Christmas Carol, A (1938)",3.833333333,4.0703125,1099,3.989690722,194,1099,Drama
861,Days of Thunder (1990),2.804597701,2.807807808,1100,2.807142857,840,1100,Action|Romance
3394,Top Gun (1986),3.706349206,3.679419525,1101,3.686138614,2020,1101,Action|Romance
140,American Strays (1996),,2,1102,2,4,1102,Action
2740,Rebel Without a Cause (1955),3.938053097,3.916955017,1103,3.922885572,402,1103,Drama
3195,"Streetcar Named Desire, A (1951)",4.25477707,4.211656442,1104,4.225672878,483,1104,Drama
661,Children of the Corn IV: The Gathering (1996),2.4,1.59375,1105,1.785714286,42,1105,Horror
1984,Loser (1991),2.5,1,1107,2,3,1107,Comedy
2159,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),4.44,3.971014493,1111,4.095744681,94,1111,Documentary
2504,Palookaville (1996),3.857142857,3.321428571,1112,3.428571429,70,1112,Action|Drama
222,"Associate, The (1996)",3.5,2.71875,1113,3,50,1113,Comedy
1279,"Funeral, The (1996)",3.285714286,2.75,1114,2.870967742,31,1114,Drama
3028,Sleepover (1995),,1,1115,1,2,1115,Comedy|Drama
3002,"Single Girl, A (La Fille Seule) (1995)",3.166666667,3.545454545,1116,3.411764706,17,1116,Drama
1029,"Eighth Day, The (Le Huitiï¿½íe jour ) (1996)",4.4,4.142857143,1117,4.25,12,1117,Drama
3278,Tashunga (1995),,2,1118,2,2,1118,Adventure|Western
995,Drunks (1997),3.416666667,3.090909091,1119,3.205882353,34,1119,Drama
2544,"People vs. Larry Flynt, The (1996)",3.5,3.611111111,1120,3.583333333,456,1120,Drama
1347,Glory Daze (1996),4,2.909090909,1121,3.076923077,13,1121,Drama
2547,"Perfect Candidate, A (1996)",3,3.96,1123,3.727272727,33,1123,Documentary
2438,On Golden Pond (1981),3.87394958,3.685314685,1124,3.740740741,405,1124,Drama
2781,"Return of the Pink Panther, The (1974)",3.884615385,3.752442997,1125,3.779220779,385,1125,Comedy
989,Drop Dead Fred (1991),2.629213483,2.271929825,1126,2.372239748,634,1126,Comedy|Fantasy
43,"Abyss, The (1989)",3.659235669,3.689507495,1127,3.683965015,6860,1127,Action|Adventure|Sci-Fi|Thriller
1202,"Fog, The (1980)",2.92,2.924137931,1128,2.923529412,170,1128,Horror
1056,Escape from New York (1981),3.194690265,3.504539559,1129,3.464932127,3536,1129,Action|Adventure|Sci-Fi|Thriller
1606,"Howling, The (1980)",2.894736842,3.331606218,1130,3.25974026,231,1130,Horror
1747,Jean de Florette (1986),4.308641975,4.333333333,1131,4.324074074,216,1131,Drama
2081,Manon of the Spring (Manon des sources) (1986),4.280487805,4.246376812,1132,4.259090909,220,1132,Drama
3264,Talking About Sex (1994),,2,1133,2,4,1133,Comedy|Drama
1765,Johnny 100 Pesos (1993),,3,1134,3,4,1134,Action|Drama
2658,Private Benjamin (1980),3.409090909,3.107744108,1135,3.189189189,407,1135,Comedy
2217,Monty Python and the Holy Grail (1974),4.235795455,4.363271852,1136,4.335209506,1599,1136,Comedy
831,Dadetown (1995),,3.857142857,1138,3.857142857,7,1138,Documentary
1069,Everything Relative (1996),4,,1139,4,2,1139,Drama
1313,Get Over It (1996),,1,1142,1,2,1142,Drama
1938,"Line King: Al Hirschfeld, The (1996)",4,3.692307692,1144,3.75,16,1144,Documentary
3056,Snowriders (1996),,2.5,1145,2.5,2,1145,Documentary
3598,When We Were Kings (1996),4.204081633,4.346491228,1147,4.321299639,277,1147,Documentary
3675,"Wrong Trousers, The (1993)",4.588235294,4.47826087,1148,4.507936508,1764,1148,Animation|Comedy
1725,JLG/JLG - autoportrait de dï¿½ãembre (1994),,3.5,1149,3.5,8,1149,Documentary|Drama
2779,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",3.969230769,3.903225806,1150,3.930379747,158,1150,Drama
1134,Faust (1994),2.142857143,3.875,1151,3.483870968,93,1151,Animation|Comedy|Thriller
1491,He Walked by Night (1948),3.111111111,3.65,1152,3.482758621,87,1152,Crime|Film-Noir|Thriller
2729,Raw Deal (1948),5,3.307692308,1153,3.428571429,14,1153,Film-Noir
3252,T-Men (1947),4,3.666666667,1154,3.733333333,15,1154,Film-Noir
3011,Six of a Kind (1934),,2.166666667,1160,2.166666667,6,1160,Comedy
3368,"Tin Drum, The (Blechtrommel, Die) (1979)",4.058823529,3.922077922,1161,3.946808511,94,1161,Drama
2854,"Ruling Class, The (1972)",3.826086957,3.931506849,1162,3.90625,96,1162,Comedy
2179,Mina Tannenbaum (1994),3.666666667,2.615384615,1163,2.947368421,19,1163,Drama
3470,Two or Three Things I Know About Her (1966),4,3.333333333,1164,3.6,5,1164,Drama
445,"Bloody Child, The (1996)",,1,1165,1,2,1165,Drama|Thriller
877,Dear God (1996),3.206896552,2.753846154,1167,2.893617021,94,1167,Comedy
267,Bad Moon (1996),3,2,1168,2.055555556,18,1168,Horror
129,American Dream (1990),3.75,3.714285714,1169,3.722222222,36,1169,Documentary
359,Best of the Best 3: No Turning Back (1995),,1.647058824,1170,1.647058824,17,1170,Action
462,Bob Roberts (1992),3.754716981,3.72815534,1171,3.734939759,415,1171,Comedy
680,Cinema Paradiso (1988),4.317535545,4.272277228,1172,4.287804878,1845,1172,Comedy|Drama|Romance
759,"Cook the Thief His Wife & Her Lover, The (1989)",3.436363636,3.314685315,1173,3.348484848,198,1173,Drama
1425,Grosse Fatigue (1994),4,3.666666667,1174,3.8,5,1174,Comedy
899,Delicatessen (1991),4.06741573,3.982078853,1175,4.002717391,736,1175,Comedy|Sci-Fi
967,"Double Life of Veronique, The (La Double Vie de Vï¿½òonique) (1991)",3.959183673,3.925,1176,3.937984496,129,1176,Drama
1038,Enchanted April (1991),4.092105263,3.887323944,1177,3.993197279,147,1177,Drama
2528,Paths of Glory (1957),4.392857143,4.485148515,1178,4.473913043,460,1178,Drama|War
1423,"Grifters, The (1990)",3.785714286,3.789712557,1179,3.788700565,2655,1179,Crime|Drama|Film-Noir
1494,Hear My Song (1991),4.1,3.775,1180,3.84,50,1180,Comedy
2980,"Shooter, The (1995)",2,3,1181,2.9,10,1181,Action
1049,"English Patient, The (1996)",3.698005698,3.561128527,1183,3.609706775,2967,1183,Drama|Romance|War
2130,Mediterraneo (1991),3.88,3.772727273,1184,3.802197802,182,1184,Comedy|War
2296,My Left Foot (1989),4.101351351,3.88852459,1185,3.958057395,453,1185,Drama
2945,"Sex, Lies, and Videotape (1989)",3.622857143,3.609819121,1186,3.613879004,562,1186,Drama
2523,Passion Fish (1992),3.587301587,3.714285714,1187,3.659863946,147,1187,Drama
3196,Strictly Ballroom (1992),4.174342105,3.768817204,1188,3.951183432,1352,1188,Comedy|Romance
3316,"Thin Blue Line, The (1988)",4.396551724,4.213270142,1189,4.252788104,269,1189,Documentary
3354,Tie Me Up! Tie Me Down! (1990),3.513513514,3.505263158,1190,3.507575758,132,1190,Drama
2043,Madonna: Truth or Dare (1991),3.344262295,2.945945946,1191,3.062200957,209,1191,Documentary
2518,Paris Is Burning (1990),4.075,4,1192,4.028571429,105,1192,Documentary
2452,One Flew Over the Cuckoo's Nest (1975),4.310810811,4.418423107,1193,4.390724638,1725,1193,Drama
3500,Up in Smoke (1978),2.944444444,3.585227273,1194,3.476415094,212,1194,Comedy
3154,Star Wars: Episode V - The Empire Strikes Back (1980),4.106481481,4.344577284,1196,4.292976589,14950,1196,Action|Adventure|Drama|Sci-Fi|War
2654,"Princess Bride, The (1987)",4.342767296,4.288941736,1197,4.303710095,9272,1197,Action|Adventure|Comedy|Romance
2711,Raiders of the Lost Ark (1981),4.332167832,4.520597322,1198,4.477724741,5028,1198,Action|Adventure
510,Brazil (1985),4.05625,4.1062417,1199,4.097480832,913,1199,Sci-Fi
102,Aliens (1986),3.802083333,4.186684073,1200,4.125824176,7280,1200,Action|Sci-Fi|Thriller|War
1381,"Good, The Bad and The Ugly, The (1966)",3.494949495,4.221300138,1201,4.133819951,1644,1201,Action|Western
3653,Withnail and I (1987),3.473684211,3.660377358,1202,3.611111111,72,1202,Comedy
9,12 Angry Men (1957),4.184397163,4.328421053,1203,4.295454545,616,1203,Drama
1901,Lawrence of Arabia (1962),4.240506329,4.439821694,1204,4.401925391,1662,1204,Adventure|War
3418,"Transformers: The Movie, The (1986)",2.857142857,3.433333333,1205,3.380952381,1386,1205,Action|Animation|Children's|Sci-Fi|Thriller|War
711,"Clockwork Orange, A (1971)",3.757009346,4.145812808,1206,4.078112286,1229,1206,Sci-Fi
3381,To Kill a Mockingbird (1962),4.536666667,4.372611465,1207,4.425646552,928,1207,Drama
194,Apocalypse Now (1979),3.955307263,4.294884654,1208,4.243197279,2352,1208,Drama|War
2446,Once Upon a Time in the West (1969),3.461538462,4.06875,1209,4.023121387,173,1209,Western
3155,Star Wars: Episode VI - Return of the Jedi (1983),3.865237366,4.069058296,1210,4.02289282,14415,1210,Action|Adventure|Romance|Sci-Fi|War
3641,Wings of Desire (Der Himmel ï¿½âer Berlin) (1987),4.202702703,4.071428571,1211,4.111570248,726,1211,Comedy|Drama|Romance
3325,"Third Man, The (1949)",4.466019417,4.448275862,1212,4.452083333,960,1212,Mystery|Thriller
1382,GoodFellas (1990),4.072423398,4.331278891,1213,4.275196138,3314,1213,Crime|Drama
98,Alien (1979),3.888252149,4.216119403,1214,4.15958498,8096,1214,Action|Horror|Sci-Fi|Thriller
208,Army of Darkness (1993),3.6015625,3.835985312,1215,3.804232804,4725,1215,Action|Adventure|Comedy|Horror|Sci-Fi
377,"Big Blue, The (Le Grand Bleu) (1988)",3.375,3.761904762,1216,3.655172414,174,1216,Adventure|Romance
2723,Ran (1985),4.365079365,4.24829932,1217,4.268907563,714,1217,Drama|War
1822,"Killer, The (Die xue shuang xiong) (1989)",4.238095238,4.192825112,1218,4.196721311,488,1218,Action|Thriller
2676,Psycho (1960),4.117056856,4.25,1219,4.218527316,2526,1219,Horror|Thriller
460,"Blues Brothers, The (1980)",3.730627306,3.992523364,1220,3.939597315,4023,1220,Action|Comedy|Musical
1355,"Godfather: Part II, The (1974)",4.040935673,4.437777778,1221,4.357565012,5076,1221,Action|Crime|Drama
